"文件","行数","类别","扩展名","符号数","主要作用"
"lib/chat/task-router.ts","136","聊天路由、上下文、工具与历史",".ts","7","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/tool-executor.ts","292","聊天路由、上下文、工具与历史",".ts","28","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/tool-planner.ts","421","聊天路由、上下文、工具与历史",".ts","17","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/tool-registry.ts","240","聊天路由、上下文、工具与历史",".ts","13","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/visual-policy.ts","79","聊天路由、上下文、工具与历史",".ts","6","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/workspace.ts","232","聊天路由、上下文、工具与历史",".ts","21","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/documents/constants.ts","7","通用文档解析",".ts","0","该文件属于“通用文档解析”模块"
"lib/documents/formats/pdf.ts","80","通用文档解析",".ts","10","该文件属于“通用文档解析”模块"
"lib/documents/parser.ts","206","通用文档解析",".ts","23","该文件属于“通用文档解析”模块"
"lib/documents/truncate.ts","36","通用文档解析",".ts","2","该文件属于“通用文档解析”模块"
"lib/documents/types.ts","9","通用文档解析",".ts","1","该文件属于“通用文档解析”模块"
"lib/export/artifact-boundary.ts","217","文件规划、校验、导出与存储",".ts","18","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/client.ts","50","文件规划、校验、导出与存储",".ts","6","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/completeness.ts","593","文件规划、校验、导出与存储",".ts","39","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/content-sanitize.ts","224","文件规划、校验、导出与存储",".ts","20","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/document-language.ts","47","文件规划、校验、导出与存储",".ts","5","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/document-spec.ts","710","文件规划、校验、导出与存储",".ts","56","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/document-templates.ts","393","文件规划、校验、导出与存储",".ts","22","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/document-trace.ts","297","文件规划、校验、导出与存储",".ts","40","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/download.ts","20","文件规划、校验、导出与存储",".ts","2","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/errors.ts","10","文件规划、校验、导出与存储",".ts","1","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/filename.ts","43","文件规划、校验、导出与存储",".ts","5","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/generators/docx.ts","1283","文件格式渲染器",".ts","78","该文件属于“文件格式渲染器”模块"
"lib/export/generators/generate-buffer.ts","90","文件格式渲染器",".ts","4","该文件属于“文件格式渲染器”模块"
"lib/export/markdown-blocks.ts","248","文件规划、校验、导出与存储",".ts","11","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/quality.ts","211","文件规划、校验、导出与存储",".ts","21","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/service.ts","237","文件规划、校验、导出与存储",".ts","19","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/store.ts","245","文件规划、校验、导出与存储",".ts","21","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/types.ts","56","文件规划、校验、导出与存储",".ts","7","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/word-pipeline.ts","640","文件规划、校验、导出与存储",".ts","56","该文件属于“文件规划、校验、导出与存储”模块"
"lib/images/image.ts","95","项目配置",".ts","8","该文件属于“项目配置”模块"
"lib/supabase/server.ts","29","Supabase认证与数据库连接",".ts","7","该文件属于“Supabase认证与数据库连接”模块"
"lib/uploads/constants.ts","180","上传文件校验与存储",".ts","16","该文件属于“上传文件校验与存储”模块"
"lib/uploads/storage-client.ts","82","上传文件校验与存储",".ts","8","该文件属于“上传文件校验与存储”模块"
"lib/uploads/storage-constants.ts","2","上传文件校验与存储",".ts","0","该文件属于“上传文件校验与存储”模块"
"lib/uploads/storage-server.ts","137","上传文件校验与存储",".ts","11","该文件属于“上传文件校验与存储”模块"
"lib/uploads/types.ts","14","上传文件校验与存储",".ts","2","该文件属于“上传文件校验与存储”模块"
