"文件","起始行","结束行","符号","类型","作用"
"app/api/chat/route.ts","24","28","导入@24","导入","引入本文件依赖"
"app/api/chat/route.ts","29","40","导入@29","导入","引入本文件依赖"
"app/api/chat/route.ts","41","44","导入@41","导入","引入本文件依赖"
"app/api/chat/route.ts","45","45","导入@45","导入","引入本文件依赖"
"app/api/chat/route.ts","46","46","导入@46","导入","引入本文件依赖"
"app/api/chat/route.ts","47","47","导入@47","导入","引入本文件依赖"
"app/api/chat/route.ts","48","48","导入@48","导入","引入本文件依赖"
"app/api/chat/route.ts","49","54","导入@49","导入","引入本文件依赖"
"app/api/chat/route.ts","55","58","导入@55","导入","引入本文件依赖"
"app/api/chat/route.ts","59","59","导入@59","导入","引入本文件依赖"
"app/api/chat/route.ts","60","60","导入@60","导入","引入本文件依赖"
"app/api/chat/route.ts","61","64","导入@61","导入","引入本文件依赖"
"app/api/chat/route.ts","65","68","导入@65","导入","引入本文件依赖"
"app/api/chat/route.ts","69","69","导入@69","导入","引入本文件依赖"
"app/api/chat/route.ts","70","70","导入@70","导入","引入本文件依赖"
"app/api/chat/route.ts","71","73","导入@71","导入","引入本文件依赖"
"app/api/chat/route.ts","74","77","导入@74","导入","引入本文件依赖"
"app/api/chat/route.ts","78","81","导入@78","导入","引入本文件依赖"
"app/api/chat/route.ts","82","82","导入@82","导入","引入本文件依赖"
"app/api/chat/route.ts","83","83","导入@83","导入","引入本文件依赖"
"app/api/chat/route.ts","84","84","导入@84","导入","引入本文件依赖"
"app/api/chat/route.ts","85","85","导入@85","导入","引入本文件依赖"
"app/api/chat/route.ts","86","86","导入@86","导入","引入本文件依赖"
"app/api/chat/route.ts","90","100","ChatRequestBody","类型","定义 ChatRequestBody 的数据契约"
"app/api/chat/route.ts","102","111","buildPromptCacheKey","函数","实现 buildPromptCacheKey 的调用与控制流程"
"app/api/chat/route.ts","103","103","函数@103","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","106","106","函数@106","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","107","107","函数@107","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","113","115","isContextMode","函数","实现 isContextMode 的调用与控制流程"
"app/api/chat/route.ts","117","127","sanitizeFolderIds","函数","实现 sanitizeFolderIds 的调用与控制流程"
"app/api/chat/route.ts","122","122","函数@122","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","123","123","函数@123","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","129","135","createGeneratedImagePath","函数","实现 createGeneratedImagePath 的调用与控制流程"
"app/api/chat/route.ts","137","139","generatedImageUrl","函数","实现 generatedImageUrl 的调用与控制流程"
"app/api/chat/route.ts","156","173","inferRequestedExportFormats","函数","实现 inferRequestedExportFormats 的调用与控制流程"
"app/api/chat/route.ts","175","181","shouldAutoCreateExports","函数","实现 shouldAutoCreateExports 的调用与控制流程"
"app/api/chat/route.ts","183","191","createExportTitle","函数","实现 createExportTitle 的调用与控制流程"
"app/api/chat/route.ts","208","225","inferCleanRequestedExportFormats","函数","实现 inferCleanRequestedExportFormats 的调用与控制流程"
"app/api/chat/route.ts","227","233","shouldCleanAutoCreateExports","函数","实现 shouldCleanAutoCreateExports 的调用与控制流程"
"app/api/chat/route.ts","235","243","createCleanExportTitle","函数","实现 createCleanExportTitle 的调用与控制流程"
"app/api/chat/route.ts","245","259","selectExportTemplateId","函数","实现 selectExportTemplateId 的调用与控制流程"
"app/api/chat/route.ts","276","296","inferReadableExportFormats","函数","实现 inferReadableExportFormats 的调用与控制流程"
"app/api/chat/route.ts","298","303","intentPlanRequestsExport","函数","实现 intentPlanRequestsExport 的调用与控制流程"
"app/api/chat/route.ts","305","316","queryExplicitlyRequestsFileCreation","函数","实现 queryExplicitlyRequestsFileCreation 的调用与控制流程"
"app/api/chat/route.ts","318","345","exportFormatsFromIntentPlan","函数","实现 exportFormatsFromIntentPlan 的调用与控制流程"
"app/api/chat/route.ts","347","352","stripGeneratedFileFooter","函数","实现 stripGeneratedFileFooter 的调用与控制流程"
"app/api/chat/route.ts","354","370","previousAssistantTextBeforeLastUser","函数","实现 previousAssistantTextBeforeLastUser 的调用与控制流程"
"app/api/chat/route.ts","356","356","函数@356","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","372","392","queryLooksLikeFollowUpTransformRequest","函数","实现 queryLooksLikeFollowUpTransformRequest 的调用与控制流程"
"app/api/chat/route.ts","394","398","queryRequiresFreshExternalSource","函数","实现 queryRequiresFreshExternalSource 的调用与控制流程"
"app/api/chat/route.ts","400","414","isFollowUpExportRequest","函数","实现 isFollowUpExportRequest 的调用与控制流程"
"app/api/chat/route.ts","416","425","shouldUsePreviousAssistantAsSource","函数","实现 shouldUsePreviousAssistantAsSource 的调用与控制流程"
"app/api/chat/route.ts","427","438","buildPreviousAssistantSourceMessage","函数","实现 buildPreviousAssistantSourceMessage 的调用与控制流程"
"app/api/chat/route.ts","440","451","toolPlanUsingConversationSource","函数","实现 toolPlanUsingConversationSource 的调用与控制流程"
"app/api/chat/route.ts","453","467","buildReadableAutoExportInstruction","函数","实现 buildReadableAutoExportInstruction 的调用与控制流程"
"app/api/chat/route.ts","454","454","函数@454","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","469","471","buildExportLinksMessage","函数","实现 buildExportLinksMessage 的调用与控制流程"
"app/api/chat/route.ts","473","481","buildRecoverableExportFailureLine","函数","实现 buildRecoverableExportFailureLine 的调用与控制流程"
"app/api/chat/route.ts","483","487","isDedicatedArtifactFormat","函数","实现 isDedicatedArtifactFormat 的调用与控制流程"
"app/api/chat/route.ts","489","505","shouldUseDedicatedArtifactMode","函数","实现 shouldUseDedicatedArtifactMode 的调用与控制流程"
"app/api/chat/route.ts","497","497","函数@497","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","507","559","artifactTemplateInstruction","函数","实现 artifactTemplateInstruction 的调用与控制流程"
"app/api/chat/route.ts","561","634","artifactFormatInstruction","函数","实现 artifactFormatInstruction 的调用与控制流程"
"app/api/chat/route.ts","636","677","buildDedicatedArtifactMessages","函数","实现 buildDedicatedArtifactMessages 的调用与控制流程"
"app/api/chat/route.ts","679","729","buildArtifactContinuationMessages","函数","实现 buildArtifactContinuationMessages 的调用与控制流程"
"app/api/chat/route.ts","693","693","函数@693","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","731","738","hasMissingRequiredSection","函数","实现 hasMissingRequiredSection 的调用与控制流程"
"app/api/chat/route.ts","735","735","函数@735","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","740","790","buildArtifactRepairMessages","函数","实现 buildArtifactRepairMessages 的调用与控制流程"
"app/api/chat/route.ts","754","754","函数@754","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","792","827","buildDocumentSpecRepairMessages","函数","实现 buildDocumentSpecRepairMessages 的调用与控制流程"
"app/api/chat/route.ts","820","820","函数@820","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","829","932","generateDocumentImageAssets","函数","实现 generateDocumentImageAssets 的调用与控制流程"
"app/api/chat/route.ts","837","840","函数@837","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","838","839","函数@838","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","843","844","函数@843","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","844","844","函数@844","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","846","846","函数@846","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","934","959","createArtifactExportTitle","函数","实现 createArtifactExportTitle 的调用与控制流程"
"app/api/chat/route.ts","961","975","buildAutoExportInstruction","函数","实现 buildAutoExportInstruction 的调用与控制流程"
"app/api/chat/route.ts","962","962","函数@962","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","977","986","isQuotaOrRateLimitError","函数","实现 isQuotaOrRateLimitError 的调用与控制流程"
"app/api/chat/route.ts","988","998","isRecoverableModelError","函数","实现 isRecoverableModelError 的调用与控制流程"
"app/api/chat/route.ts","1000","1012","buildEmptyAssistantMessage","函数","实现 buildEmptyAssistantMessage 的调用与控制流程"
"app/api/chat/route.ts","1016","1034","looksAbruptlyTruncated","函数","实现 looksAbruptlyTruncated 的调用与控制流程"
"app/api/chat/route.ts","1036","1054","buildAutoContinuationMessages","函数","实现 buildAutoContinuationMessages 的调用与控制流程"
"app/api/chat/route.ts","1056","1059","LongFormSegment","类型","定义 LongFormSegment 的数据契约"
"app/api/chat/route.ts","1061","1066","requestedLongFormLength","函数","实现 requestedLongFormLength 的调用与控制流程"
"app/api/chat/route.ts","1068","1102","shouldUseSegmentedLongForm","函数","实现 shouldUseSegmentedLongForm 的调用与控制流程"
"app/api/chat/route.ts","1094","1095","函数@1094","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1104","1177","buildLongFormSegments","函数","实现 buildLongFormSegments 的调用与控制流程"
"app/api/chat/route.ts","1179","1215","buildSegmentMessages","函数","实现 buildSegmentMessages 的调用与控制流程"
"app/api/chat/route.ts","1188","1197","segmentInstruction","变量","保存或计算 segmentInstruction 所需的数据"
"app/api/chat/route.ts","1217","1232","INTENT_LABELS","变量","保存或计算 INTENT_LABELS 所需的数据"
"app/api/chat/route.ts","1234","1243","SCOPE_LABELS","变量","保存或计算 SCOPE_LABELS 所需的数据"
"app/api/chat/route.ts","1245","1256","OUTPUT_LABELS","变量","保存或计算 OUTPUT_LABELS 所需的数据"
"app/api/chat/route.ts","1258","1272","formatTokenEstimate","函数","实现 formatTokenEstimate 的调用与控制流程"
"app/api/chat/route.ts","1274","1294","formatIntentPlanCard","函数","实现 formatIntentPlanCard 的调用与控制流程"
"app/api/chat/route.ts","1292","1292","函数@1292","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1296","1323","formatToolPlanCard","函数","实现 formatToolPlanCard 的调用与控制流程"
"app/api/chat/route.ts","1299","1302","函数@1299","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1325","1359","formatCompactPlanDisclosure","函数","实现 formatCompactPlanDisclosure 的调用与控制流程"
"app/api/chat/route.ts","1331","1331","函数@1331","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1335","1335","函数@1335","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1337","1340","函数@1337","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1348","1348","函数@1348","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1349","1349","函数@1349","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1353","1356","payload","变量","保存或计算 payload 所需的数据"
"app/api/chat/route.ts","1361","2752","POST","函数","实现 POST 的调用与控制流程"
"app/api/chat/route.ts","1398","1398","函数@1398","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1403","1403","函数@1403","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1404","1404","函数@1404","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1477","1477","函数@1477","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1564","1576","libraryContextMessage","变量","保存或计算 libraryContextMessage 所需的数据"
"app/api/chat/route.ts","1616","2737","start","方法","实现 start 的调用与控制流程"
"app/api/chat/route.ts","1761","1761","函数@1761","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1862","1906","streamModel","变量","保存或计算 streamModel 所需的数据"
"app/api/chat/route.ts","1862","1906","函数@1862","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1908","1986","generateSemanticPlan","变量","保存或计算 generateSemanticPlan 所需的数据"
"app/api/chat/route.ts","1908","1986","函数@1908","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1988","2213","generateArtifactSource","变量","保存或计算 generateArtifactSource 所需的数据"
"app/api/chat/route.ts","1988","2213","函数@1988","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","2119","2123","函数@2119","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","2309","2309","函数@2309","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/debug/routes/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/debug/routes/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/debug/routes/route.ts","6","10","hasRoute","函数","实现 hasRoute 的调用与控制流程"
"app/api/debug/routes/route.ts","12","19","GET","函数","实现 GET 的调用与控制流程"
"app/api/document-jobs/[id]/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/document-jobs/[id]/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/document-jobs/[id]/route.ts","6","81","GET","函数","实现 GET 的调用与控制流程"
"app/api/download/[id]/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/download/[id]/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/download/[id]/route.ts","6","8","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/download/[id]/route.ts","10","22","requireUser","函数","实现 requireUser 的调用与控制流程"
"app/api/download/[id]/route.ts","24","60","GET","函数","实现 GET 的调用与控制流程"
"app/api/export/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/export/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/export/route.ts","3","6","导入@3","导入","引入本文件依赖"
"app/api/export/route.ts","7","7","导入@7","导入","引入本文件依赖"
"app/api/export/route.ts","8","11","导入@8","导入","引入本文件依赖"
"app/api/export/route.ts","12","12","导入@12","导入","引入本文件依赖"
"app/api/export/route.ts","13","13","导入@13","导入","引入本文件依赖"
"app/api/export/route.ts","14","14","导入@14","导入","引入本文件依赖"
"app/api/export/route.ts","15","18","导入@15","导入","引入本文件依赖"
"app/api/export/route.ts","19","19","导入@19","导入","引入本文件依赖"
"app/api/export/route.ts","20","20","导入@20","导入","引入本文件依赖"
"app/api/export/route.ts","25","35","logExportError","函数","实现 logExportError 的调用与控制流程"
"app/api/export/route.ts","37","49","requireUser","函数","实现 requireUser 的调用与控制流程"
"app/api/export/route.ts","51","84","generateQualityCheckedBuffer","函数","实现 generateQualityCheckedBuffer 的调用与控制流程"
"app/api/export/route.ts","86","185","POST","函数","实现 POST 的调用与控制流程"
"app/api/export/route.ts","146","149","exportMetadata","变量","保存或计算 exportMetadata 所需的数据"
"app/api/extension/folders/route.ts","1","4","导入@1","导入","引入本文件依赖"
"app/api/extension/folders/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/extension/folders/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/extension/folders/route.ts","7","7","导入@7","导入","引入本文件依赖"
"app/api/extension/folders/route.ts","11","13","OPTIONS","函数","实现 OPTIONS 的调用与控制流程"
"app/api/extension/folders/route.ts","15","41","GET","函数","实现 GET 的调用与控制流程"
"app/api/extension/save-paper/route.ts","1","4","导入@1","导入","引入本文件依赖"
"app/api/extension/save-paper/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/extension/save-paper/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/extension/save-paper/route.ts","7","11","导入@7","导入","引入本文件依赖"
"app/api/extension/save-paper/route.ts","16","19","SavePaperRequest","类型","定义 SavePaperRequest 的数据契约"
"app/api/extension/save-paper/route.ts","21","28","getExtensionPdfUrl","函数","实现 getExtensionPdfUrl 的调用与控制流程"
"app/api/extension/save-paper/route.ts","30","38","isLikelyPdfUrl","函数","实现 isLikelyPdfUrl 的调用与控制流程"
"app/api/extension/save-paper/route.ts","40","42","OPTIONS","函数","实现 OPTIONS 的调用与控制流程"
"app/api/extension/save-paper/route.ts","44","94","POST","函数","实现 POST 的调用与控制流程"
"app/api/extension/session/route.ts","1","4","导入@1","导入","引入本文件依赖"
"app/api/extension/session/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/extension/session/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/extension/session/route.ts","10","12","OPTIONS","函数","实现 OPTIONS 的调用与控制流程"
"app/api/extension/session/route.ts","14","61","GET","函数","实现 GET 的调用与控制流程"
"app/api/extension/upload-paper/route.ts","1","4","导入@1","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","7","10","导入@7","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","11","11","导入@11","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","12","12","导入@12","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","13","16","导入@13","导入","引入本文件依赖"
"app/api/extension/upload-paper/route.ts","21","31","parseJsonField","函数","实现 parseJsonField 的调用与控制流程"
"app/api/extension/upload-paper/route.ts","33","49","assertPdfFile","函数","实现 assertPdfFile 的调用与控制流程"
"app/api/extension/upload-paper/route.ts","51","53","OPTIONS","函数","实现 OPTIONS 的调用与控制流程"
"app/api/extension/upload-paper/route.ts","55","123","POST","函数","实现 POST 的调用与控制流程"
"app/api/extension/upload-paper/route.ts","99","101","函数@99","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/literature/folders/[id]/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/folders/[id]/route.ts","2","5","导入@2","导入","引入本文件依赖"
"app/api/literature/folders/[id]/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/literature/folders/[id]/route.ts","7","7","导入@7","导入","引入本文件依赖"
"app/api/literature/folders/[id]/route.ts","11","13","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/literature/folders/[id]/route.ts","15","32","PATCH","函数","实现 PATCH 的调用与控制流程"
"app/api/literature/folders/[id]/route.ts","34","48","DELETE","函数","实现 DELETE 的调用与控制流程"
"app/api/literature/folders/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/folders/route.ts","2","5","导入@2","导入","引入本文件依赖"
"app/api/literature/folders/route.ts","6","9","导入@6","导入","引入本文件依赖"
"app/api/literature/folders/route.ts","10","10","导入@10","导入","引入本文件依赖"
"app/api/literature/folders/route.ts","11","11","导入@11","导入","引入本文件依赖"
"app/api/literature/folders/route.ts","15","17","OPTIONS","函数","实现 OPTIONS 的调用与控制流程"
"app/api/literature/folders/route.ts","19","44","GET","函数","实现 GET 的调用与控制流程"
"app/api/literature/folders/route.ts","46","61","POST","函数","实现 POST 的调用与控制流程"
"app/api/literature/imports/google-scholar/route.ts","1","4","导入@1","导入","引入本文件依赖"
"app/api/literature/imports/google-scholar/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/literature/imports/google-scholar/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/literature/imports/google-scholar/route.ts","7","11","导入@7","导入","引入本文件依赖"
"app/api/literature/imports/google-scholar/route.ts","12","15","导入@12","导入","引入本文件依赖"
"app/api/literature/imports/google-scholar/route.ts","20","23","ScholarImportRequest","类型","定义 ScholarImportRequest 的数据契约"
"app/api/literature/imports/google-scholar/route.ts","25","27","OPTIONS","函数","实现 OPTIONS 的调用与控制流程"
"app/api/literature/imports/google-scholar/route.ts","29","79","POST","函数","实现 POST 的调用与控制流程"
"app/api/literature/imports/google-scholar/route.ts","37","37","函数@37","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/literature/library/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/library/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/library/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/library/route.ts","4","7","导入@4","导入","引入本文件依赖"
"app/api/literature/library/route.ts","8","8","导入@8","导入","引入本文件依赖"
"app/api/literature/library/route.ts","9","9","导入@9","导入","引入本文件依赖"
"app/api/literature/library/route.ts","10","10","导入@10","导入","引入本文件依赖"
"app/api/literature/library/route.ts","14","44","GET","函数","实现 GET 的调用与控制流程"
"app/api/literature/library/upload/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","4","4","导入@4","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","6","11","导入@6","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","12","12","导入@12","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","13","13","导入@13","导入","引入本文件依赖"
"app/api/literature/library/upload/route.ts","18","24","DirectUploadPayload","类型","定义 DirectUploadPayload 的数据契约"
"app/api/literature/library/upload/route.ts","26","28","cleanString","函数","实现 cleanString 的调用与控制流程"
"app/api/literature/library/upload/route.ts","30","32","titleFromFileName","函数","实现 titleFromFileName 的调用与控制流程"
"app/api/literature/library/upload/route.ts","34","57","parsePayload","函数","实现 parsePayload 的调用与控制流程"
"app/api/literature/library/upload/route.ts","59","78","buildDraft","函数","实现 buildDraft 的调用与控制流程"
"app/api/literature/library/upload/route.ts","80","131","POST","函数","实现 POST 的调用与控制流程"
"app/api/literature/library/upload/route.ts","97","97","函数@97","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/literature/library/upload/route.ts","103","103","函数@103","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/literature/papers/[id]/citation-network/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/papers/[id]/citation-network/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/papers/[id]/citation-network/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/papers/[id]/citation-network/route.ts","4","4","导入@4","导入","引入本文件依赖"
"app/api/literature/papers/[id]/citation-network/route.ts","8","10","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/literature/papers/[id]/citation-network/route.ts","12","31","GET","函数","实现 GET 的调用与控制流程"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","9","11","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","13","53","GET","函数","实现 GET 的调用与控制流程"
"app/api/literature/papers/[id]/figures/[figureId]/route.ts","19","19","函数@19","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/literature/papers/[id]/figures/extract/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/extract/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/extract/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/extract/route.ts","4","7","导入@4","导入","引入本文件依赖"
"app/api/literature/papers/[id]/figures/extract/route.ts","12","14","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/literature/papers/[id]/figures/extract/route.ts","16","44","POST","函数","实现 POST 的调用与控制流程"
"app/api/literature/papers/[id]/folders/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/papers/[id]/folders/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/papers/[id]/folders/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/papers/[id]/folders/route.ts","4","4","导入@4","导入","引入本文件依赖"
"app/api/literature/papers/[id]/folders/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/literature/papers/[id]/folders/route.ts","6","6","导入@6","导入","引入本文件依赖"
"app/api/literature/papers/[id]/folders/route.ts","11","13","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/literature/papers/[id]/folders/route.ts","15","28","assertPdfStored","函数","实现 assertPdfStored 的调用与控制流程"
"app/api/literature/papers/[id]/folders/route.ts","30","60","PUT","函数","实现 PUT 的调用与控制流程"
"app/api/literature/papers/[id]/notes/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/papers/[id]/notes/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/papers/[id]/notes/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/papers/[id]/notes/route.ts","4","7","导入@4","导入","引入本文件依赖"
"app/api/literature/papers/[id]/notes/route.ts","8","8","导入@8","导入","引入本文件依赖"
"app/api/literature/papers/[id]/notes/route.ts","12","14","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/literature/papers/[id]/notes/route.ts","16","34","PATCH","函数","实现 PATCH 的调用与控制流程"
"app/api/literature/papers/[id]/pdf/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/literature/papers/[id]/pdf/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/literature/papers/[id]/pdf/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/literature/papers/[id]/pdf/route.ts","7","9","RouteContext","类型","定义 RouteContext 的数据契约"
