"文件","行号","所在符号","行类型","作用","代码摘要"
"AGENTS.md","24","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- For UI features, verify the actual user path that triggers the behavior, not only the component or API in isolation."
"AGENTS.md","25","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- For router/planner/tool changes, verify that the request enters the intended pipeline and does not fall back to old chat logic."
"AGENTS.md","26","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- In the final response, report what was actually verified. If only code-level checks were run, say that clearly."
"AGENTS.md","27","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/attachments/route.ts","1","导入@1","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@1”导入","import { AIProviderError, validateChatMessages } from ""@/lib/ai/provider"";"
"app/api/chat/attachments/route.ts","2","导入@2","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@2”导入","import type { ChatMessage } from ""@/lib/ai/types"";"
"app/api/chat/attachments/route.ts","3","导入@3","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@3”导入","import { getTextFromMessageContent } from ""@/lib/ai/types"";"
"app/api/chat/attachments/route.ts","4","导入@4","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@4”导入","import { sanitizeIncomingChatMessages } from ""@/lib/chat/message-normalize"";"
"app/api/chat/attachments/route.ts","5","导入@5","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@5”导入","import { prepareChatMessages } from ""@/lib/chat/server/prepare-messages"";"
"app/api/chat/attachments/route.ts","6","导入@6","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@6”导入","import {"
"app/api/chat/attachments/route.ts","7","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","requireChatUser,"
"app/api/chat/attachments/route.ts","8","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","toChatApiErrorResponse,"
"app/api/chat/attachments/route.ts","9","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","} from ""@/lib/chat/server/errors"";"
"app/api/chat/attachments/route.ts","10","导入@10","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@10”导入","import { AttachmentParseError } from ""@/lib/uploads/errors"";"
"app/api/chat/attachments/route.ts","11","导入@11","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@11”导入","import {"
"app/api/chat/attachments/route.ts","12","导入@11","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@11”导入","deleteChatAttachments,"
"app/api/chat/attachments/route.ts","13","导入@11","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@11”导入","downloadChatAttachments,"
"app/api/chat/attachments/route.ts","14","导入@11","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@11”导入","parseAttachmentStorageMetadata,"
"app/api/chat/attachments/route.ts","15","导入@11","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@11”导入","} from ""@/lib/uploads/storage-server"";"
"app/api/chat/attachments/route.ts","16","导入@16","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@16”导入","import type { AttachmentStorageMetadata } from ""@/lib/uploads/types"";"
"app/api/chat/attachments/route.ts","17","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/attachments/route.ts","18","(模块顶层)","公开接口","定义或导出供其他模块调用的能力；属于文件顶层","export const runtime = ""nodejs"";"
"app/api/chat/attachments/route.ts","19","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/attachments/route.ts","20","AttachmentsRequestBody","数据契约","定义结构化数据、状态或枚举约束；属于“AttachmentsRequestBody”类型","type AttachmentsRequestBody = {"
"app/api/chat/attachments/route.ts","21","AttachmentsRequestBody","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“AttachmentsRequestBody”类型","messages?: unknown;"
"app/api/chat/attachments/route.ts","22","AttachmentsRequestBody","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“AttachmentsRequestBody”类型","attachments?: unknown;"
"app/api/chat/attachments/route.ts","23","AttachmentsRequestBody","结构结束","结束当前语句、对象或作用域；属于“AttachmentsRequestBody”类型","};"
"app/api/chat/attachments/route.ts","24","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/attachments/route.ts","25","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","function toAttachmentsErrorResponse("
"app/api/chat/attachments/route.ts","26","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","error: unknown,"
"app/api/chat/attachments/route.ts","27","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","): { body: Record<string, string>; status: number } {"
"app/api/chat/attachments/route.ts","28","toAttachmentsErrorResponse","条件分支","根据运行条件选择执行路径；属于“toAttachmentsErrorResponse”函数","if (error instanceof AttachmentParseError) {"
"app/api/chat/attachments/route.ts","29","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","console.error(""[attachments] parsing failed:"", {"
"app/api/chat/attachments/route.ts","30","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","fileName: error.fileName,"
"app/api/chat/attachments/route.ts","31","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","fileType: error.fileType,"
"app/api/chat/attachments/route.ts","32","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","stage: error.stage,"
"app/api/chat/attachments/route.ts","33","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","details: error.details,"
"app/api/chat/attachments/route.ts","34","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","});"
"app/api/chat/attachments/route.ts","35","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","console.error(""[attachments] exact error stack:"", error.stack);"
"app/api/chat/attachments/route.ts","36","toAttachmentsErrorResponse","条件分支","根据运行条件选择执行路径；属于“toAttachmentsErrorResponse”函数","if (error.cause instanceof Error) {"
"app/api/chat/attachments/route.ts","37","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","console.error(""[attachments] cause stack:"", error.cause.stack);"
"app/api/chat/attachments/route.ts","38","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","}"
"app/api/chat/attachments/route.ts","39","toAttachmentsErrorResponse","空行","分隔代码结构，提高可读性；属于“toAttachmentsErrorResponse”函数",""
"app/api/chat/attachments/route.ts","40","toAttachmentsErrorResponse","返回结果","结束当前作用域并向调用方返回值；属于“toAttachmentsErrorResponse”函数","return {"
"app/api/chat/attachments/route.ts","41","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","status: error.statusCode,"
"app/api/chat/attachments/route.ts","42","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","body: {"
"app/api/chat/attachments/route.ts","43","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","error: `无法读取文件“${error.fileName}”`,"
"app/api/chat/attachments/route.ts","44","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","details: ["
"app/api/chat/attachments/route.ts","45","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","error.details,"
"app/api/chat/attachments/route.ts","46","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","error.fileType === ""application/pdf"" ||"
"app/api/chat/attachments/route.ts","47","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","error.fileName.toLowerCase().endsWith("".pdf"")"
"app/api/chat/attachments/route.ts","48","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","? ""请确认 PDF 未加密且包含可提取文字；扫描版 PDF 请先执行 OCR。"""
"app/api/chat/attachments/route.ts","49","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数",": ""请确认文件未损坏，或另存为受支持的标准格式后重试。"","
"app/api/chat/attachments/route.ts","50","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","].join("" ""),"
"app/api/chat/attachments/route.ts","51","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","fileName: error.fileName,"
"app/api/chat/attachments/route.ts","52","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","fileType: error.fileType,"
"app/api/chat/attachments/route.ts","53","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","stage: error.stage,"
"app/api/chat/attachments/route.ts","54","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","},"
"app/api/chat/attachments/route.ts","55","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","};"
"app/api/chat/attachments/route.ts","56","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","}"
"app/api/chat/attachments/route.ts","57","toAttachmentsErrorResponse","空行","分隔代码结构，提高可读性；属于“toAttachmentsErrorResponse”函数",""
"app/api/chat/attachments/route.ts","58","toAttachmentsErrorResponse","变量/计算","声明状态、配置或中间计算结果；属于“toAttachmentsErrorResponse”函数","const { body, status } = toChatApiErrorResponse(error);"
"app/api/chat/attachments/route.ts","59","toAttachmentsErrorResponse","返回结果","结束当前作用域并向调用方返回值；属于“toAttachmentsErrorResponse”函数","return {"
"app/api/chat/attachments/route.ts","60","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","status,"
"app/api/chat/attachments/route.ts","61","toAttachmentsErrorResponse","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“toAttachmentsErrorResponse”函数","body: body as Record<string, string>,"
"app/api/chat/attachments/route.ts","62","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","};"
"app/api/chat/attachments/route.ts","63","toAttachmentsErrorResponse","结构结束","结束当前语句、对象或作用域；属于“toAttachmentsErrorResponse”函数","}"
"app/api/chat/attachments/route.ts","64","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/attachments/route.ts","65","parseAttachmentsRequest","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“parseAttachmentsRequest”函数","function parseAttachmentsRequest(body: unknown): {"
"app/api/chat/attachments/route.ts","66","parseAttachmentsRequest","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“parseAttachmentsRequest”函数","messages: ChatMessage[];"
"app/api/chat/attachments/route.ts","67","parseAttachmentsRequest","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“parseAttachmentsRequest”函数","attachments: AttachmentStorageMetadata[];"
"app/api/chat/attachments/route.ts","68","parseAttachmentsRequest","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“parseAttachmentsRequest”函数","} {"
"app/api/chat/attachments/route.ts","69","parseAttachmentsRequest","条件分支","根据运行条件选择执行路径；属于“parseAttachmentsRequest”函数","if (typeof body !== ""object"" || body === null) {"
"app/api/chat/attachments/route.ts","70","parseAttachmentsRequest","错误终止","在约束不满足时中止当前流程；属于“parseAttachmentsRequest”函数","throw new AIProviderError(""Invalid request body"", { statusCode: 400 });"
"app/api/chat/attachments/route.ts","71","parseAttachmentsRequest","结构结束","结束当前语句、对象或作用域；属于“parseAttachmentsRequest”函数","}"
"app/api/chat/attachments/route.ts","72","parseAttachmentsRequest","空行","分隔代码结构，提高可读性；属于“parseAttachmentsRequest”函数",""
"app/api/chat/attachments/route.ts","73","parseAttachmentsRequest","变量/计算","声明状态、配置或中间计算结果；属于“parseAttachmentsRequest”函数","const record = body as AttachmentsRequestBody;"
"app/api/chat/attachments/route.ts","74","parseAttachmentsRequest","空行","分隔代码结构，提高可读性；属于“parseAttachmentsRequest”函数",""
"app/api/chat/attachments/route.ts","75","parseAttachmentsRequest","条件分支","根据运行条件选择执行路径；属于“parseAttachmentsRequest”函数","if (!Array.isArray(record.attachments) || record.attachments.length === 0) {"
"app/api/chat/attachments/route.ts","76","parseAttachmentsRequest","错误终止","在约束不满足时中止当前流程；属于“parseAttachmentsRequest”函数","throw new AIProviderError(""At least one attachment is required"", {"
"app/api/chat/attachments/route.ts","77","parseAttachmentsRequest","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“parseAttachmentsRequest”函数","statusCode: 400,"
"app/api/chat/attachments/route.ts","78","parseAttachmentsRequest","结构结束","结束当前语句、对象或作用域；属于“parseAttachmentsRequest”函数","});"
"app/api/chat/attachments/route.ts","79","parseAttachmentsRequest","结构结束","结束当前语句、对象或作用域；属于“parseAttachmentsRequest”函数","}"
"app/api/chat/attachments/route.ts","80","parseAttachmentsRequest","空行","分隔代码结构，提高可读性；属于“parseAttachmentsRequest”函数",""
"app/api/chat/attachments/route.ts","81","parseAttachmentsRequest","变量/计算","声明状态、配置或中间计算结果；属于“parseAttachmentsRequest”函数","const attachments = record.attachments.map(parseAttachmentStorageMetadata);"
"app/api/chat/attachments/route.ts","82","parseAttachmentsRequest","空行","分隔代码结构，提高可读性；属于“parseAttachmentsRequest”函数",""
"app/api/chat/attachments/route.ts","83","parseAttachmentsRequest","变量/计算","声明状态、配置或中间计算结果；属于“parseAttachmentsRequest”函数","const messages = validateChatMessages("
"app/api/chat/attachments/route.ts","84","parseAttachmentsRequest","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“parseAttachmentsRequest”函数","sanitizeIncomingChatMessages(record.messages) as ChatMessage[],"
"app/api/chat/attachments/route.ts","85","parseAttachmentsRequest","结构结束","结束当前语句、对象或作用域；属于“parseAttachmentsRequest”函数",");"
"app/api/chat/attachments/route.ts","86","parseAttachmentsRequest","空行","分隔代码结构，提高可读性；属于“parseAttachmentsRequest”函数",""
"app/api/chat/attachments/route.ts","87","parseAttachmentsRequest","返回结果","结束当前作用域并向调用方返回值；属于“parseAttachmentsRequest”函数","return { messages, attachments };"
"app/api/chat/attachments/route.ts","88","parseAttachmentsRequest","结构结束","结束当前语句、对象或作用域；属于“parseAttachmentsRequest”函数","}"
"app/api/chat/attachments/route.ts","89","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/attachments/route.ts","90","POST","公开接口","定义或导出供其他模块调用的能力；属于“POST”函数","export async function POST(request: Request) {"
"app/api/chat/attachments/route.ts","91","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] request received"");"
"app/api/chat/attachments/route.ts","92","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","93","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","let storageAttachments: AttachmentStorageMetadata[] = [];"
"app/api/chat/attachments/route.ts","94","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","95","POST","异常处理","捕获、转换或清理运行错误；属于“POST”函数","try {"
"app/api/chat/attachments/route.ts","96","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const user = await requireChatUser();"
"app/api/chat/attachments/route.ts","97","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","98","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","let body: unknown;"
"app/api/chat/attachments/route.ts","99","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","100","POST","异常处理","捕获、转换或清理运行错误；属于“POST”函数","try {"
"app/api/chat/attachments/route.ts","101","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","body = await request.json();"
"app/api/chat/attachments/route.ts","102","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","} catch {"
"app/api/chat/attachments/route.ts","103","POST","错误终止","在约束不满足时中止当前流程；属于“POST”函数","throw new AIProviderError(""Invalid JSON body"", { statusCode: 400 });"
"app/api/chat/attachments/route.ts","104","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","105","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","106","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const parsed = parseAttachmentsRequest(body);"
"app/api/chat/attachments/route.ts","107","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","storageAttachments = parsed.attachments;"
"app/api/chat/attachments/route.ts","108","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","109","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] attachment count"", storageAttachments.length);"
"app/api/chat/attachments/route.ts","110","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","111","POST","循环","遍历或重复处理集合数据；属于“POST”函数","for (const attachment of storageAttachments) {"
"app/api/chat/attachments/route.ts","112","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] storage object"", {"
"app/api/chat/attachments/route.ts","113","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileName: attachment.fileName,"
"app/api/chat/attachments/route.ts","114","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileType: attachment.fileType || ""(empty)"","
"app/api/chat/attachments/route.ts","115","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileSize: attachment.fileSize,"
"app/api/chat/attachments/route.ts","116","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","path: attachment.path,"
"app/api/chat/attachments/route.ts","117","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","});"
"app/api/chat/attachments/route.ts","118","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","119","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","120","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const files = await downloadChatAttachments(storageAttachments, user.id);"
"app/api/chat/attachments/route.ts","121","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const prepared = await prepareChatMessages(parsed.messages, files);"
"app/api/chat/attachments/route.ts","122","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const preparedMessages = prepared.messages;"
"app/api/chat/attachments/route.ts","123","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","124","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","await deleteChatAttachments(storageAttachments, user.id);"
"app/api/chat/attachments/route.ts","125","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","126","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] all files prepared successfully"");"
"app/api/chat/attachments/route.ts","127","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","128","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const preparedUserMessage = [...preparedMessages]"
"app/api/chat/attachments/route.ts","129","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数",".reverse()"
"app/api/chat/attachments/route.ts","130","函数@130","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“函数@130”函数",".find((message) => message.role === ""user"");"
"app/api/chat/attachments/route.ts","131","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","132","POST","返回结果","结束当前作用域并向调用方返回值；属于“POST”函数","return Response.json({"
"app/api/chat/attachments/route.ts","133","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","messages: preparedMessages,"
"app/api/chat/attachments/route.ts","134","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileResults: prepared.fileResults,"
"app/api/chat/attachments/route.ts","135","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","attachmentContext: preparedUserMessage"
"app/api/chat/attachments/route.ts","136","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","? getTextFromMessageContent(preparedUserMessage.content).slice(0, 30000)"
"app/api/chat/attachments/route.ts","137","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数",": """","
"app/api/chat/attachments/route.ts","138","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","});"
"app/api/chat/attachments/route.ts","139","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","} catch (error) {"
"app/api/chat/attachments/route.ts","140","POST","条件分支","根据运行条件选择执行路径；属于“POST”函数","if (storageAttachments.length > 0) {"
"app/api/chat/attachments/route.ts","141","POST","异常处理","捕获、转换或清理运行错误；属于“POST”函数","try {"
"app/api/chat/attachments/route.ts","142","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const user = await requireChatUser();"
"app/api/chat/attachments/route.ts","143","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","await deleteChatAttachments(storageAttachments, user.id);"
"app/api/chat/attachments/route.ts","144","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","} catch {"
"app/api/chat/attachments/route.ts","145","POST","注释/说明","记录设计意图、说明或文档内容；属于“POST”函数","// Best-effort cleanup only."
