"文件","起始行","结束行","符号","类型","作用"
"app/api/chat/route.ts","48","48","导入@48","导入","引入本文件依赖"
"app/api/chat/route.ts","49","54","导入@49","导入","引入本文件依赖"
"app/api/chat/route.ts","55","58","导入@55","导入","引入本文件依赖"
"app/api/chat/route.ts","59","59","导入@59","导入","引入本文件依赖"
"app/api/chat/route.ts","60","60","导入@60","导入","引入本文件依赖"
"app/api/chat/route.ts","61","64","导入@61","导入","引入本文件依赖"
"app/api/chat/route.ts","65","68","导入@65","导入","引入本文件依赖"
"app/api/chat/route.ts","69","69","导入@69","导入","引入本文件依赖"
"app/api/chat/route.ts","70","70","导入@70","导入","引入本文件依赖"
"app/api/chat/route.ts","71","73","导入@71","导入","引入本文件依赖"
"app/api/chat/route.ts","74","77","导入@74","导入","引入本文件依赖"
"app/api/chat/route.ts","78","81","导入@78","导入","引入本文件依赖"
"app/api/chat/route.ts","82","82","导入@82","导入","引入本文件依赖"
"app/api/chat/route.ts","83","83","导入@83","导入","引入本文件依赖"
"app/api/chat/route.ts","84","84","导入@84","导入","引入本文件依赖"
"app/api/chat/route.ts","85","85","导入@85","导入","引入本文件依赖"
"app/api/chat/route.ts","86","86","导入@86","导入","引入本文件依赖"
"app/api/chat/route.ts","90","100","ChatRequestBody","类型","定义 ChatRequestBody 的数据契约"
"app/api/chat/route.ts","102","111","buildPromptCacheKey","函数","实现 buildPromptCacheKey 的调用与控制流程"
"app/api/chat/route.ts","103","103","函数@103","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","106","106","函数@106","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","107","107","函数@107","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","113","115","isContextMode","函数","实现 isContextMode 的调用与控制流程"
"app/api/chat/route.ts","117","127","sanitizeFolderIds","函数","实现 sanitizeFolderIds 的调用与控制流程"
"app/api/chat/route.ts","122","122","函数@122","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","123","123","函数@123","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","129","135","createGeneratedImagePath","函数","实现 createGeneratedImagePath 的调用与控制流程"
"app/api/chat/route.ts","137","139","generatedImageUrl","函数","实现 generatedImageUrl 的调用与控制流程"
"app/api/chat/route.ts","156","173","inferRequestedExportFormats","函数","实现 inferRequestedExportFormats 的调用与控制流程"
"app/api/chat/route.ts","175","181","shouldAutoCreateExports","函数","实现 shouldAutoCreateExports 的调用与控制流程"
"app/api/chat/route.ts","183","191","createExportTitle","函数","实现 createExportTitle 的调用与控制流程"
"app/api/chat/route.ts","208","225","inferCleanRequestedExportFormats","函数","实现 inferCleanRequestedExportFormats 的调用与控制流程"
"app/api/chat/route.ts","227","233","shouldCleanAutoCreateExports","函数","实现 shouldCleanAutoCreateExports 的调用与控制流程"
"app/api/chat/route.ts","235","243","createCleanExportTitle","函数","实现 createCleanExportTitle 的调用与控制流程"
"app/api/chat/route.ts","245","259","selectExportTemplateId","函数","实现 selectExportTemplateId 的调用与控制流程"
"app/api/chat/route.ts","276","296","inferReadableExportFormats","函数","实现 inferReadableExportFormats 的调用与控制流程"
"app/api/chat/route.ts","298","303","intentPlanRequestsExport","函数","实现 intentPlanRequestsExport 的调用与控制流程"
"app/api/chat/route.ts","305","316","queryExplicitlyRequestsFileCreation","函数","实现 queryExplicitlyRequestsFileCreation 的调用与控制流程"
"app/api/chat/route.ts","318","345","exportFormatsFromIntentPlan","函数","实现 exportFormatsFromIntentPlan 的调用与控制流程"
"app/api/chat/route.ts","347","352","stripGeneratedFileFooter","函数","实现 stripGeneratedFileFooter 的调用与控制流程"
"app/api/chat/route.ts","354","370","previousAssistantTextBeforeLastUser","函数","实现 previousAssistantTextBeforeLastUser 的调用与控制流程"
"app/api/chat/route.ts","356","356","函数@356","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","372","392","queryLooksLikeFollowUpTransformRequest","函数","实现 queryLooksLikeFollowUpTransformRequest 的调用与控制流程"
"app/api/chat/route.ts","394","398","queryRequiresFreshExternalSource","函数","实现 queryRequiresFreshExternalSource 的调用与控制流程"
"app/api/chat/route.ts","400","414","isFollowUpExportRequest","函数","实现 isFollowUpExportRequest 的调用与控制流程"
"app/api/chat/route.ts","416","425","shouldUsePreviousAssistantAsSource","函数","实现 shouldUsePreviousAssistantAsSource 的调用与控制流程"
"app/api/chat/route.ts","427","438","buildPreviousAssistantSourceMessage","函数","实现 buildPreviousAssistantSourceMessage 的调用与控制流程"
"app/api/chat/route.ts","440","451","toolPlanUsingConversationSource","函数","实现 toolPlanUsingConversationSource 的调用与控制流程"
"app/api/chat/route.ts","453","467","buildReadableAutoExportInstruction","函数","实现 buildReadableAutoExportInstruction 的调用与控制流程"
"app/api/chat/route.ts","454","454","函数@454","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","469","471","buildExportLinksMessage","函数","实现 buildExportLinksMessage 的调用与控制流程"
"app/api/chat/route.ts","473","481","buildRecoverableExportFailureLine","函数","实现 buildRecoverableExportFailureLine 的调用与控制流程"
"app/api/chat/route.ts","483","487","isDedicatedArtifactFormat","函数","实现 isDedicatedArtifactFormat 的调用与控制流程"
"app/api/chat/route.ts","489","505","shouldUseDedicatedArtifactMode","函数","实现 shouldUseDedicatedArtifactMode 的调用与控制流程"
"app/api/chat/route.ts","497","497","函数@497","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","507","559","artifactTemplateInstruction","函数","实现 artifactTemplateInstruction 的调用与控制流程"
"app/api/chat/route.ts","561","634","artifactFormatInstruction","函数","实现 artifactFormatInstruction 的调用与控制流程"
"app/api/chat/route.ts","636","677","buildDedicatedArtifactMessages","函数","实现 buildDedicatedArtifactMessages 的调用与控制流程"
"app/api/chat/route.ts","679","729","buildArtifactContinuationMessages","函数","实现 buildArtifactContinuationMessages 的调用与控制流程"
"app/api/chat/route.ts","693","693","函数@693","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","731","738","hasMissingRequiredSection","函数","实现 hasMissingRequiredSection 的调用与控制流程"
"app/api/chat/route.ts","735","735","函数@735","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","740","790","buildArtifactRepairMessages","函数","实现 buildArtifactRepairMessages 的调用与控制流程"
"app/api/chat/route.ts","754","754","函数@754","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","792","827","buildDocumentSpecRepairMessages","函数","实现 buildDocumentSpecRepairMessages 的调用与控制流程"
"app/api/chat/route.ts","820","820","函数@820","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","829","932","generateDocumentImageAssets","函数","实现 generateDocumentImageAssets 的调用与控制流程"
"app/api/chat/route.ts","837","840","函数@837","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","838","839","函数@838","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","843","844","函数@843","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","844","844","函数@844","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","846","846","函数@846","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","934","959","createArtifactExportTitle","函数","实现 createArtifactExportTitle 的调用与控制流程"
"app/api/chat/route.ts","961","975","buildAutoExportInstruction","函数","实现 buildAutoExportInstruction 的调用与控制流程"
"app/api/chat/route.ts","962","962","函数@962","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","977","986","isQuotaOrRateLimitError","函数","实现 isQuotaOrRateLimitError 的调用与控制流程"
"app/api/chat/route.ts","988","998","isRecoverableModelError","函数","实现 isRecoverableModelError 的调用与控制流程"
"app/api/chat/route.ts","1000","1012","buildEmptyAssistantMessage","函数","实现 buildEmptyAssistantMessage 的调用与控制流程"
"app/api/chat/route.ts","1016","1034","looksAbruptlyTruncated","函数","实现 looksAbruptlyTruncated 的调用与控制流程"
"app/api/chat/route.ts","1036","1054","buildAutoContinuationMessages","函数","实现 buildAutoContinuationMessages 的调用与控制流程"
"app/api/chat/route.ts","1056","1059","LongFormSegment","类型","定义 LongFormSegment 的数据契约"
"app/api/chat/route.ts","1061","1066","requestedLongFormLength","函数","实现 requestedLongFormLength 的调用与控制流程"
"app/api/chat/route.ts","1068","1102","shouldUseSegmentedLongForm","函数","实现 shouldUseSegmentedLongForm 的调用与控制流程"
"app/api/chat/route.ts","1094","1095","函数@1094","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1104","1177","buildLongFormSegments","函数","实现 buildLongFormSegments 的调用与控制流程"
"app/api/chat/route.ts","1179","1215","buildSegmentMessages","函数","实现 buildSegmentMessages 的调用与控制流程"
"app/api/chat/route.ts","1188","1197","segmentInstruction","变量","保存或计算 segmentInstruction 所需的数据"
"app/api/chat/route.ts","1217","1232","INTENT_LABELS","变量","保存或计算 INTENT_LABELS 所需的数据"
"app/api/chat/route.ts","1234","1243","SCOPE_LABELS","变量","保存或计算 SCOPE_LABELS 所需的数据"
"app/api/chat/route.ts","1245","1256","OUTPUT_LABELS","变量","保存或计算 OUTPUT_LABELS 所需的数据"
"app/api/chat/route.ts","1258","1272","formatTokenEstimate","函数","实现 formatTokenEstimate 的调用与控制流程"
"app/api/chat/route.ts","1274","1294","formatIntentPlanCard","函数","实现 formatIntentPlanCard 的调用与控制流程"
"app/api/chat/route.ts","1292","1292","函数@1292","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1296","1323","formatToolPlanCard","函数","实现 formatToolPlanCard 的调用与控制流程"
"app/api/chat/route.ts","1299","1302","函数@1299","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1325","1359","formatCompactPlanDisclosure","函数","实现 formatCompactPlanDisclosure 的调用与控制流程"
"app/api/chat/route.ts","1331","1331","函数@1331","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1335","1335","函数@1335","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1337","1340","函数@1337","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1348","1348","函数@1348","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1349","1349","函数@1349","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1353","1356","payload","变量","保存或计算 payload 所需的数据"
"app/api/chat/route.ts","1361","2752","POST","函数","实现 POST 的调用与控制流程"
"app/api/chat/route.ts","1398","1398","函数@1398","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1403","1403","函数@1403","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1404","1404","函数@1404","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1477","1477","函数@1477","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1564","1576","libraryContextMessage","变量","保存或计算 libraryContextMessage 所需的数据"
"app/api/chat/route.ts","1616","2737","start","方法","实现 start 的调用与控制流程"
"app/api/chat/route.ts","1761","1761","函数@1761","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1862","1906","streamModel","变量","保存或计算 streamModel 所需的数据"
"app/api/chat/route.ts","1862","1906","函数@1862","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1908","1986","generateSemanticPlan","变量","保存或计算 generateSemanticPlan 所需的数据"
"app/api/chat/route.ts","1908","1986","函数@1908","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1988","2213","generateArtifactSource","变量","保存或计算 generateArtifactSource 所需的数据"
"app/api/chat/route.ts","1988","2213","函数@1988","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","2119","2123","函数@2119","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","2309","2309","函数@2309","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/document-jobs/[id]/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/document-jobs/[id]/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/document-jobs/[id]/route.ts","6","81","GET","函数","实现 GET 的调用与控制流程"
"app/api/download/[id]/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/download/[id]/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/download/[id]/route.ts","6","8","RouteContext","类型","定义 RouteContext 的数据契约"
"app/api/download/[id]/route.ts","10","22","requireUser","函数","实现 requireUser 的调用与控制流程"
"app/api/download/[id]/route.ts","24","60","GET","函数","实现 GET 的调用与控制流程"
"app/api/export/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/export/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/export/route.ts","3","6","导入@3","导入","引入本文件依赖"
"app/api/export/route.ts","7","7","导入@7","导入","引入本文件依赖"
"app/api/export/route.ts","8","11","导入@8","导入","引入本文件依赖"
"app/api/export/route.ts","12","12","导入@12","导入","引入本文件依赖"
"app/api/export/route.ts","13","13","导入@13","导入","引入本文件依赖"
"app/api/export/route.ts","14","14","导入@14","导入","引入本文件依赖"
"app/api/export/route.ts","15","18","导入@15","导入","引入本文件依赖"
"app/api/export/route.ts","19","19","导入@19","导入","引入本文件依赖"
"app/api/export/route.ts","20","20","导入@20","导入","引入本文件依赖"
"app/api/export/route.ts","25","35","logExportError","函数","实现 logExportError 的调用与控制流程"
"app/api/export/route.ts","37","49","requireUser","函数","实现 requireUser 的调用与控制流程"
"app/api/export/route.ts","51","84","generateQualityCheckedBuffer","函数","实现 generateQualityCheckedBuffer 的调用与控制流程"
"app/api/export/route.ts","86","185","POST","函数","实现 POST 的调用与控制流程"
"app/api/export/route.ts","146","149","exportMetadata","变量","保存或计算 exportMetadata 所需的数据"
"components/chat-input.tsx","3","12","导入@3","导入","引入本文件依赖"
"components/chat-input.tsx","13","13","导入@13","导入","引入本文件依赖"
"components/chat-input.tsx","14","14","导入@14","导入","引入本文件依赖"
"components/chat-input.tsx","15","20","导入@15","导入","引入本文件依赖"
"components/chat-input.tsx","21","24","导入@21","导入","引入本文件依赖"
"components/chat-input.tsx","25","28","导入@25","导入","引入本文件依赖"
"components/chat-input.tsx","29","29","导入@29","导入","引入本文件依赖"
"components/chat-input.tsx","30","30","导入@30","导入","引入本文件依赖"
"components/chat-input.tsx","31","35","导入@31","导入","引入本文件依赖"
"components/chat-input.tsx","36","43","导入@36","导入","引入本文件依赖"
"components/chat-input.tsx","47","50","ChatSendPayload","类型","定义 ChatSendPayload 的数据契约"
"components/chat-input.tsx","52","73","ChatInputProps","类型","定义 ChatInputProps 的数据契约"
"components/chat-input.tsx","75","473","ChatInput","函数","实现 ChatInput 的调用与控制流程"
"components/chat-input.tsx","108","108","函数@108","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","114","121","函数@114","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","124","131","函数@124","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","126","130","函数@126","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","135","142","函数@135","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","136","139","函数@136","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","144","153","submit","变量","保存或计算 submit 所需的数据"
"components/chat-input.tsx","144","153","函数@144","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","148","148","函数@148","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","155","174","handleDrop","变量","保存或计算 handleDrop 所需的数据"
"components/chat-input.tsx","155","174","函数@155","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","176","178","函数@176","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","180","191","函数@180","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","181","185","closeMenu","变量","保存或计算 closeMenu 所需的数据"
"components/chat-input.tsx","181","185","函数@181","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","187","190","函数@187","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","197","200","函数@197","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","212","213","函数@212","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","219","223","函数@219","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","242","246","函数@242","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","247","251","函数@247","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","265","281","函数@265","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","273","273","函数@273","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","288","293","函数@288","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","289","290","函数@289","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","305","308","函数@305","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","312","312","函数@312","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","326","347","函数@326","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","332","335","函数@332","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","354","355","函数@354","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","367","367","函数@367","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","367","367","函数@367","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","381","381","函数@381","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","395","395","函数@395","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","416","419","函数@416","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","420","425","函数@420","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-input.tsx","426","433","函数@426","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/chat-shell.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/chat-shell.tsx","5","18","导入@5","导入","引入本文件依赖"
"components/chat-shell.tsx","19","19","导入@19","导入","引入本文件依赖"
"components/chat-shell.tsx","20","20","导入@20","导入","引入本文件依赖"
"components/chat-shell.tsx","21","21","导入@21","导入","引入本文件依赖"
"components/chat-shell.tsx","22","22","导入@22","导入","引入本文件依赖"
"components/chat-shell.tsx","23","23","导入@23","导入","引入本文件依赖"
"components/chat-shell.tsx","24","24","导入@24","导入","引入本文件依赖"
"components/chat-shell.tsx","25","25","导入@25","导入","引入本文件依赖"
"components/chat-shell.tsx","26","26","导入@26","导入","引入本文件依赖"
"components/chat-shell.tsx","27","32","导入@27","导入","引入本文件依赖"
"components/chat-shell.tsx","33","38","导入@33","导入","引入本文件依赖"
"components/chat-shell.tsx","39","42","导入@39","导入","引入本文件依赖"
"components/chat-shell.tsx","43","43","导入@43","导入","引入本文件依赖"
"components/chat-shell.tsx","44","44","导入@44","导入","引入本文件依赖"
"components/chat-shell.tsx","45","53","导入@45","导入","引入本文件依赖"
"components/chat-shell.tsx","54","57","导入@54","导入","引入本文件依赖"
"components/chat-shell.tsx","58","64","导入@58","导入","引入本文件依赖"
"components/chat-shell.tsx","65","65","导入@65","导入","引入本文件依赖"
"components/chat-shell.tsx","66","74","导入@66","导入","引入本文件依赖"
"components/chat-shell.tsx","75","78","导入@75","导入","引入本文件依赖"
"components/chat-shell.tsx","79","82","导入@79","导入","引入本文件依赖"
"components/chat-shell.tsx","83","83","导入@83","导入","引入本文件依赖"
"components/chat-shell.tsx","84","84","导入@84","导入","引入本文件依赖"
"components/chat-shell.tsx","86","93","CHAT_LIBRARY_FILTERS","变量","保存或计算 CHAT_LIBRARY_FILTERS 所需的数据"
"components/chat-shell.tsx","95","100","toDisplayAttachments","函数","实现 toDisplayAttachments 的调用与控制流程"
"components/chat-shell.tsx","96","99","函数@96","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","102","110","toApiUserMessage","函数","实现 toApiUserMessage 的调用与控制流程"
"components/chat-shell.tsx","112","120","toDisplayUserMessage","函数","实现 toDisplayUserMessage 的调用与控制流程"
"components/chat-shell.tsx","122","134","localFileKind","函数","实现 localFileKind 的调用与控制流程"
"components/chat-shell.tsx","136","147","localFileTypeLabel","函数","实现 localFileTypeLabel 的调用与控制流程"
"components/chat-shell.tsx","137","145","labels","变量","保存或计算 labels 所需的数据"
"components/chat-shell.tsx","149","153","localFileExtension","函数","实现 localFileExtension 的调用与控制流程"
"components/chat-shell.tsx","155","167","localFileReadBlockReason","函数","实现 localFileReadBlockReason 的调用与控制流程"
"components/chat-shell.tsx","169","171","isLocalDocxFile","函数","实现 isLocalDocxFile 的调用与控制流程"
"components/chat-shell.tsx","173","188","formatLocalFileReadError","函数","实现 formatLocalFileReadError 的调用与控制流程"
"components/chat-shell.tsx","190","201","buildLocalPdfManifest","函数","实现 buildLocalPdfManifest 的调用与控制流程"
"components/chat-shell.tsx","191","194","函数@191","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","193","193","函数@193","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","199","199","函数@199","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","203","230","buildProjectContextForChat","函数","实现 buildProjectContextForChat 的调用与控制流程"
"components/chat-shell.tsx","213","228","函数@213","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","220","227","函数@220","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","232","335","buildLocalPdfContextForProject","函数","实现 buildLocalPdfContextForProject 的调用与控制流程"
"components/chat-shell.tsx","241","242","函数@241","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","242","242","函数@242","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","246","246","函数@246","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","260","263","函数@260","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","316","316","函数@316","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","321","321","函数@321","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","337","344","projectNameFromTask","函数","实现 projectNameFromTask 的调用与控制流程"
"components/chat-shell.tsx","346","350","shouldAnalyzeAllProjectFiles","函数","实现 shouldAnalyzeAllProjectFiles 的调用与控制流程"
"components/chat-shell.tsx","352","2238","ChatShell","函数","实现 ChatShell 的调用与控制流程"
"components/chat-shell.tsx","442","447","函数@442","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","449","520","函数@449","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","464","500","hydrateWorkspace","函数","实现 hydrateWorkspace 的调用与控制流程"
"components/chat-shell.tsx","491","491","函数@491","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","505","508","函数@505","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","509","511","函数@509","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","513","519","函数@513","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","522","539","函数@522","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","524","524","workspace","变量","保存或计算 workspace 所需的数据"
"components/chat-shell.tsx","533","538","函数@533","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","534","537","函数@534","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","542","542","函数@542","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","542","542","函数@542","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","545","553","函数@545","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","546","546","counts","变量","保存或计算 counts 所需的数据"
"components/chat-shell.tsx","555","555","函数@555","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","557","561","函数@557","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","559","559","函数@559","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","565","565","函数@565","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","567","568","函数@567","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","572","575","函数@572","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","577","591","函数@577","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","592","595","函数@592","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","596","599","函数@596","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","600","603","函数@600","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","605","616","函数@605","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","618","621","函数@618","函数","实现 匿名逻辑 的调用与控制流程"
"components/chat-shell.tsx","623","644","函数@623","函数","实现 匿名逻辑 的调用与控制流程"
