"文件","行号","所在符号","行类型","作用","代码摘要"
"app/api/chat/attachments/route.ts","97","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","98","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","let body: unknown;"
"app/api/chat/attachments/route.ts","99","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","100","POST","异常处理","捕获、转换或清理运行错误；属于“POST”函数","try {"
"app/api/chat/attachments/route.ts","101","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","body = await request.json();"
"app/api/chat/attachments/route.ts","102","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","} catch {"
"app/api/chat/attachments/route.ts","103","POST","错误终止","在约束不满足时中止当前流程；属于“POST”函数","throw new AIProviderError(""Invalid JSON body"", { statusCode: 400 });"
"app/api/chat/attachments/route.ts","104","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","105","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","106","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const parsed = parseAttachmentsRequest(body);"
"app/api/chat/attachments/route.ts","107","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","storageAttachments = parsed.attachments;"
"app/api/chat/attachments/route.ts","108","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","109","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] attachment count"", storageAttachments.length);"
"app/api/chat/attachments/route.ts","110","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","111","POST","循环","遍历或重复处理集合数据；属于“POST”函数","for (const attachment of storageAttachments) {"
"app/api/chat/attachments/route.ts","112","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] storage object"", {"
"app/api/chat/attachments/route.ts","113","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileName: attachment.fileName,"
"app/api/chat/attachments/route.ts","114","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileType: attachment.fileType || ""(empty)"","
"app/api/chat/attachments/route.ts","115","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileSize: attachment.fileSize,"
"app/api/chat/attachments/route.ts","116","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","path: attachment.path,"
"app/api/chat/attachments/route.ts","117","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","});"
"app/api/chat/attachments/route.ts","118","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","119","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","120","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const files = await downloadChatAttachments(storageAttachments, user.id);"
"app/api/chat/attachments/route.ts","121","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const prepared = await prepareChatMessages(parsed.messages, files);"
"app/api/chat/attachments/route.ts","122","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const preparedMessages = prepared.messages;"
"app/api/chat/attachments/route.ts","123","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","124","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","await deleteChatAttachments(storageAttachments, user.id);"
"app/api/chat/attachments/route.ts","125","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","126","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.log(""[attachments] all files prepared successfully"");"
"app/api/chat/attachments/route.ts","127","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","128","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const preparedUserMessage = [...preparedMessages]"
"app/api/chat/attachments/route.ts","129","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数",".reverse()"
"app/api/chat/attachments/route.ts","130","函数@130","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“函数@130”函数",".find((message) => message.role === ""user"");"
"app/api/chat/attachments/route.ts","131","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","132","POST","返回结果","结束当前作用域并向调用方返回值；属于“POST”函数","return Response.json({"
"app/api/chat/attachments/route.ts","133","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","messages: preparedMessages,"
"app/api/chat/attachments/route.ts","134","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","fileResults: prepared.fileResults,"
"app/api/chat/attachments/route.ts","135","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","attachmentContext: preparedUserMessage"
"app/api/chat/attachments/route.ts","136","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","? getTextFromMessageContent(preparedUserMessage.content).slice(0, 30000)"
"app/api/chat/attachments/route.ts","137","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数",": """","
"app/api/chat/attachments/route.ts","138","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","});"
"app/api/chat/attachments/route.ts","139","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","} catch (error) {"
"app/api/chat/attachments/route.ts","140","POST","条件分支","根据运行条件选择执行路径；属于“POST”函数","if (storageAttachments.length > 0) {"
"app/api/chat/attachments/route.ts","141","POST","异常处理","捕获、转换或清理运行错误；属于“POST”函数","try {"
"app/api/chat/attachments/route.ts","142","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const user = await requireChatUser();"
"app/api/chat/attachments/route.ts","143","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","await deleteChatAttachments(storageAttachments, user.id);"
"app/api/chat/attachments/route.ts","144","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","} catch {"
"app/api/chat/attachments/route.ts","145","POST","注释/说明","记录设计意图、说明或文档内容；属于“POST”函数","// Best-effort cleanup only."
"app/api/chat/attachments/route.ts","146","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","147","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","148","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","149","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.error(""[attachments] request failed:"", error);"
"app/api/chat/attachments/route.ts","150","POST","条件分支","根据运行条件选择执行路径；属于“POST”函数","if (error instanceof Error) {"
"app/api/chat/attachments/route.ts","151","POST","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“POST”函数","console.error(""[attachments] exact error stack:"", error.stack);"
"app/api/chat/attachments/route.ts","152","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","153","POST","空行","分隔代码结构，提高可读性；属于“POST”函数",""
"app/api/chat/attachments/route.ts","154","POST","变量/计算","声明状态、配置或中间计算结果；属于“POST”函数","const { body, status } = toAttachmentsErrorResponse(error);"
"app/api/chat/attachments/route.ts","155","POST","返回结果","结束当前作用域并向调用方返回值；属于“POST”函数","return Response.json(body, { status });"
"app/api/chat/attachments/route.ts","156","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","157","POST","结构结束","结束当前语句、对象或作用域；属于“POST”函数","}"
"app/api/chat/attachments/route.ts","158","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"app/api/chat/route.ts","1","导入@1","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@1”导入","import { validateChatMessages } from ""@/lib/ai/provider"";"
"app/api/chat/route.ts","2","导入@2","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@2”导入","import { openResponsesChatStream } from ""@/lib/ai/openai"";"
"app/api/chat/route.ts","3","导入@3","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@3”导入","import { createHash } from ""node:crypto"";"
"app/api/chat/route.ts","4","导入@4","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@4”导入","import type { ChatMessage } from ""@/lib/ai/types"";"
"app/api/chat/route.ts","5","导入@5","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@5”导入","import { getTextFromMessageContent } from ""@/lib/ai/types"";"
"app/api/chat/route.ts","6","导入@6","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@6”导入","import {"
"app/api/chat/route.ts","7","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","DEFAULT_CHAT_MODEL_TIER,"
"app/api/chat/route.ts","8","导入@6","数据契约","定义结构化数据、状态或枚举约束；属于“导入@6”导入","type ChatModelOption,"
"app/api/chat/route.ts","9","导入@6","数据契约","定义结构化数据、状态或枚举约束；属于“导入@6”导入","type ChatModelTier,"
"app/api/chat/route.ts","10","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","getChatModelOption,"
"app/api/chat/route.ts","11","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","isChatModelTier,"
"app/api/chat/route.ts","12","导入@6","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@6”导入","} from ""@/lib/ai/chat-models"";"
"app/api/chat/route.ts","13","导入@13","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@13”导入","import {"
"app/api/chat/route.ts","14","导入@13","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@13”导入","inspectArtifactContentCompleteness,"
"app/api/chat/route.ts","15","导入@13","数据契约","定义结构化数据、状态或枚举约束；属于“导入@13”导入","type ArtifactCompletenessReport,"
"app/api/chat/route.ts","16","导入@13","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@13”导入","} from ""@/lib/export/completeness"";"
"app/api/chat/route.ts","17","导入@17","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@17”导入","import { createExport } from ""@/lib/export/service"";"
"app/api/chat/route.ts","18","导入@18","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@18”导入","import {"
"app/api/chat/route.ts","19","导入@18","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@18”导入","createDocumentGenerationTrace,"
"app/api/chat/route.ts","20","导入@18","数据契约","定义结构化数据、状态或枚举约束；属于“导入@18”导入","type DocumentGenerationTrace,"
"app/api/chat/route.ts","21","导入@18","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@18”导入","} from ""@/lib/export/document-trace"";"
"app/api/chat/route.ts","22","导入@22","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@22”导入","import type { ArtifactTemplateId } from ""@/lib/export/artifact-planner"";"
"app/api/chat/route.ts","23","导入@23","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@23”导入","import type { ExportFormat } from ""@/lib/export/types"";"
"app/api/chat/route.ts","24","导入@24","依赖导入","引入当前模块使用的外部或内部依赖；属于“导入@24”导入","import {"
"app/api/chat/route.ts","25","导入@24","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@24”导入","documentLanguageInstruction,"
"app/api/chat/route.ts","26","导入@24","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于“导入@24”导入","resolveDocumentLanguage,"
"app/api/chat/route.ts","27","导入@24","数据契约","定义结构化数据、状态或枚举约束；属于“导入@24”导入","type DocumentLanguage,"
